			人口	人口	人口	人口	人口	人口	人口	人口	人口	人口
			人口	人口	人口	人口	人口	人口	人口	人口	人口	人口
No	都道府県	年度	15歳以上の人口【人】	15歳未満の人口【人】	65歳以上の人口【人】	75歳以上の人口【人】	人口総数（日本人）｜住民基本台帳【人】	人口総数｜人口推計【人】	人口総数｜住民基本台帳【人】	労働力人口【人】	女性割合【%】	男性割合【%】
1	全国	1975	84,672,746	27,220,692	8,865,429	2,839,936	112,145,133	111,939,643		54,389,675	50.8	49.2
2	全国	1976	85,596,000	27,492,000	9,201,000		113,225,921	113,094,000			50.8	49.2
3	全国	1977	86,505,000	27,649,000	9,561,000		114,275,833	114,165,000			50.8	49.2
4	全国	1978	87,466,000	27,708,000	9,921,000		115,286,775	115,190,000			50.8	49.2
5	全国	1979	88,470,000	27,664,000	10,309,000		116,194,898	116,155,000			50.8	49.2
6	全国	1980	89,481,955	27,507,078	10,647,356	3,659,698	117,009,002	117,060,396		57,231,120	50.8	49.2
7	全国	1981	90,281,000	27,603,000	11,009,000		117,776,771	117,902,000			50.8	49.2
8	全国	1982	91,439,000	27,254,000	11,350,000		118,601,534	118,728,000			50.8	49.2
9	全国	1983	92,576,000	26,907,000	11,672,000		119,316,468	119,536,000			50.8	49.2
10	全国	1984	93,732,000	26,504,000	11,956,000		120,007,812	120,305,000			50.8	49.2
11	全国	1985	94,974,359	26,033,218	12,468,343	4,711,527	120,720,542	121,048,923		60,390,551	50.8	49.2
12	全国	1986	96,238,000	25,434,000	12,870,000		121,371,798	121,660,000			50.9	49.1
13	全国	1987	97,511,000	24,753,000	13,322,000		121,874,240	122,239,000			50.9	49.1
14	全国	1988	98,798,000	23,985,000	13,785,000		122,335,313	122,745,000			50.9	49.1
15	全国	1989	100,054,000	23,201,000	14,309,000		122,744,952	123,205,000			50.9	49.1
16	全国	1990	100,798,571	22,486,239	14,894,595	5,973,485	123,156,678	123,611,167		63,595,339	50.9	49.1
17	全国	1991	102,139,000	21,904,000	15,582,000		123,587,297	124,101,000			50.9	49.1
18	全国	1992	103,088,000	21,364,000	16,242,000		123,957,458	124,567,000			50.9	49.1
19	全国	1993	103,924,000	20,841,000	16,900,000		124,322,801	124,938,000			50.9	49.1
20	全国	1994	104,619,000	20,415,000	17,585,000		124,655,498	125,265,000			50.9	49.1
21	全国	1995	105,425,543	20,013,730	18,260,822	7,169,577	124,914,373	125,570,246		67,017,987	51.0	49.0
22	全国	1996	106,178,000	19,686,000	19,017,000		125,257,061	125,859,000			51.0	49.0
23	全国	1997	106,800,000	19,366,000	19,758,000		125,568,035	126,157,000			51.0	49.0
24	全国	1998	107,428,000	19,059,000	20,508,000		125,860,006	126,472,000			51.0	49.0
25	全国	1999	107,944,000	18,742,000	21,186,000		126,071,305	126,667,000			51.0	49.0
26	全国	2000	108,224,783	18,472,499	22,005,152	8,998,637	126,284,805	126,925,843		66,097,816	51.1	48.9
27	全国	2001	109,007,000	18,283,000	22,869,000		126,478,672	127,316,000			51.1	48.9
28	全国	2002	109,334,000	18,102,000	23,628,000		126,688,364	127,486,000			51.1	48.9
29	全国	2003	109,715,000	17,905,000	24,311,000		126,824,166	127,694,000			51.2	48.8
30	全国	2004	109,953,000	17,734,000	24,876,000		126,869,397	127,787,000			51.2	48.8
31	全国	2005	109,764,419	17,521,234	25,672,005	11,601,898	127,055,025	127,767,994		65,399,685	51.2	48.8
32	全国	2006	110,335,000	17,435,000	26,604,000		127,053,471	127,901,000			51.2	48.8
33	全国	2007	110,478,000	17,293,000	27,464,000		127,066,178	128,033,000			51.2	48.8
34	全国	2008	110,516,000	17,176,000	28,216,000		127,076,183	128,084,000			51.3	48.7
35	全国	2009	110,499,000	17,011,000	29,005,000		127,057,860	128,032,000			51.3	48.7
36	全国	2010	110,277,485	16,803,444	29,245,685	14,072,210	126,923,410	128,057,352		63,699,101	51.3	48.7
37	全国	2011	111,094,000	16,705,000	29,752,000		126,659,683	127,834,000			51.3	48.7
38	全国	2012	110,968,000	16,547,000	30,793,000		126,393,679	127,593,000	128,373,879		51.3	48.7
39	全国	2013	110,908,000	16,390,000	31,898,000		126,434,964	127,414,000	128,438,348		51.4	48.6
40	全国	2014	110,850,000	16,233,000	33,000,000		126,163,576	127,237,000	128,226,483		51.3	48.7
41	全国	2015	109,754,177	15,886,810	33,465,441	16,125,763	125,891,742	127,094,745	128,066,211	61,523,327	51.3	48.7
42	全国	2016	111,153,000	15,780,000	34,591,000		125,583,658	126,933,000	127,907,086		51.4	48.7
43	全国	2017	111,114,000	15,592,000	35,152,000		125,209,603	126,706,000	127,707,259		51.4	48.7
44	全国	2018	111,029,000	15,415,000	35,578,000		124,776,364	126,443,000	127,443,563		51.5	48.8
45	全国	2019	110,957,000	15,210,000	35,885,000		124,271,318	126,167,000	127,138,033		51.5	48.8
46	全国	2020	108,258,569	14,955,692	35,335,805	18,248,742	123,842,701	126,146,099	126,654,244	59,949,767	51.4	48.6
47	全国	2021	110,718,000	14,784,000	36,214,000		123,223,561	125,502,000	125,927,902		51.4	48.6
48	全国	2022	110,444,000	14,503,000	36,236,000		122,423,038	124,947,000	125,416,877		51.4	48.6
49	全国	2023	110,179,000	14,173,000	36,227,000		121,561,801	124,352,000	124,885,175		51.4	48.6
50	全国	2024	109,971,000	13,830,000	36,243,000			123,802,000				
51	北海道	1975	4,024,535	1,312,611	366,651	109,986	5,375,831	5,338,206		2,515,903	50.9	49.1
52	北海道	1976	4,085,000	1,309,000	386,000		5,421,012	5,395,000			50.9	49.1
